id,record_name,gene_name,subcell_loc
A0JNW5,BLT3B_HUMAN,BLTP3B,"Cytoplasm, cytosol<br> Early endosome<br> Note=Localizes on a subpopulation of vesicle clusters in the early endocytic pathway.<br>"
A0JP26,POTB3_HUMAN,POTEB3,
A0M8Q6,IGLC7_HUMAN,IGLC7,Secreted<br> Cell membrane<br>
A0MZ66,SHOT1_HUMAN,SHTN1,"Perikaryon<br> Cell projection, axon<br> Cell projection, growth cone<br> Cytoplasm, cytoskeleton<br> Cell projection, filopodium<br> Cell projection, lamellipodium<br> Note=Localizes in multiple growth cones at neurite tips before the neuronal symmetry-breaking step. Accumulates in growth cones of a single nascent axon in a neurite length-dependent manner during the neuronal symmetry-breaking step; when absent from the nascent axon's siblings, probably due to competitive transport, prevents the formation of surplus axons. Transported anterogradely from the soma to the axon growth cone in an actin and myosin-dependent manner and passively diffuses back to the cell bodies. Colocalized with L1CAM in close apposition with actin filaments in filopodia and lamellipodia of axonal growth cones in hippocampal neurons. Exhibits retrograde movements in filopodia and lamellopodia of axonal growth cones. Colocalized with KIF20B along microtubules to the tip of the growing cone in primary hippocampal neurons. Recruited to the growth cone of developing axon in a KIF20B- and microtubule-dependent manner.<br>"
A0PJK1,SC5AA_HUMAN,SLC5A10,Apical cell membrane<br>
A0PJY2,FEZF1_HUMAN,FEZF1,Nucleus<br>
A0PK00,T120B_HUMAN,TMEM120B,Nucleus inner membrane<br>
A0PK11,CLRN2_HUMAN,CLRN2,"Cell projection, stereocilium membrane<br>"
A1A4S6,RHG10_HUMAN,ARHGAP10,"Cytoplasm<br> Cytoplasm, perinuclear region<br> Cell membrane<br> Endosome membrane<br> Note=Association to cell membrane is dependent on PH domain. Colocalized with MICAL1, RAB8A, RAB8B and RAB10 on endosomal tubules (PubMed:32344433).<br>"
A1A4Y4,IRGM_HUMAN,IRGM,"Golgi apparatus membrane<br> Cell membrane<br> Cytoplasmic vesicle, phagosome membrane<br> Cytoplasmic vesicle, autophagosome membrane<br> Lysosome membrane<br> Late endosome membrane<br> Mitochondrion membrane<br> Cell projection, phagocytic cup<br> Note=Behaves like an integral membrane protein. Recruited to the plasma membrane around forming phagocytic cups, it remains associated with maturing phagosomes. Association with phagosomes is dependent on nucleotide-binding but is IFNG-independent. Also detected in late endosomes and lysosomes.<br><br>[Isoform IRGMd]:<br> Mitochondrion<br>"
A1A519,F170A_HUMAN,FAM170A,Nucleus<br>
A1A5B4,ANO9_HUMAN,ANO9,Cell membrane<br> Note=Shows predominantly an intracellular localization with a weak expression in the cell membrane.
A1A5C7,S22AN_HUMAN,SLC22A23,Membrane<br>
A1E959,ODAM_HUMAN,ODAM,Secreted<br> Cytoplasm<br> Nucleus<br>
A1KXE4,F168B_HUMAN,FAM168B,"Cytoplasm, perinuclear region<br> Cell membrane<br> Cell projection, axon<br> Note=Expressed in neuronal cell bodies and axonal fibers.<br>"
A1KZ92,PXDNL_HUMAN,PXDNL,Secreted<br> Endoplasmic reticulum<br> Cell membrane<br><br>[Isoform PMR1]:<br> Cytoplasm. Note=Associates with polysomes.
A1L0T0,HACL2_HUMAN,ILVBL,Endoplasmic reticulum membrane<br>
A1L167,U2QL1_HUMAN,UBE2QL1,Nucleus<br>
A1L190,SYCE3_HUMAN,SYCE3,Nucleus<br> Chromosome<br> Note=Colocalizes with SYCE1 in the central elements.<br>
A1L390,PKHG3_HUMAN,PLEKHG3,"Cytoplasm, cytoskeleton<br> Note=Colocalizes with actin at the leading edge of polarized cells.<br>"
A1L3X0,ELOV7_HUMAN,ELOVL7,Endoplasmic reticulum membrane<br>
A1L4H1,SRCRL_HUMAN,SSC5D,Secreted<br> Cytoplasm<br>
A1L4K1,FSD2_HUMAN,FSD2,"Nucleus<br> Sarcoplasmic reticulum<br> Cytoplasm, perinuclear region<br> Note=In skeletal muscles and striated muscles flanks Z-disks. Partially colocalizes with RYR2 in the sarcoplasmic reticulum.<br>"
A1X283,SPD2B_HUMAN,SH3PXD2B,"Cytoplasm<br> Cell projection, podosome<br> Note=Cytoplasmic in normal cells and localizes to podosomes in SRC-transformed cells.<br>"
A1XBS5,CBAR1_HUMAN,CIBAR1,"Cytoplasm<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole<br> Cytoplasm, cytoskeleton, cilium basal body<br> Cell projection, cilium<br> Nucleus<br> Mitochondrion inner membrane<br> Note=Weak punctate vesicular distribution throughout the cytoplasm (PubMed:27528616). Localizes at the distal end of mother centrioles (PubMed:27528616). Extensive colocalization with CBY1 at mother centrioles (PubMed:27528616).<br><br>[Isoform 3]:<br> Nucleus<br>"
A1Z1Q3,MACD2_HUMAN,MACROD2,"Nucleus<br> Note=Recruited to DNA lesions, probably via mono-APD-ribosylated proteins.<br>"
A2A288,ZC12D_HUMAN,ZC3H12D,"Cytoplasm, P-body<br> Note=Colocalizes with ZC3H12A in GW bodies (GWBs) (PubMed:26134560).<br><br>[Isoform 1]:<br> Cytoplasm. Note=Localized as discrete granules. Colocalized with mRNA-processing body markers, AGO2 and DCP1A, but not with a stress granule maker, TIA1, in the cytoplasm.<br>[Isoform 3]:<br> Cytoplasm. Nucleus."
A2A2Y4,FRMD3_HUMAN,FRMD3,Membrane<br>
A2IDD5,CCD78_HUMAN,CCDC78,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole. Cytoplasm, perinuclear region. Cell membrane, sarcolemma. Sarcoplasmic reticulum. Note=Localizes to centrioles and deuterosome. Found primarily in the perinuclear region as well as along the sarcolemmal membrane and in reticular pattern within the sarcoplasm."
A2PYH4,HFM1_HUMAN,HFM1,
A2RRP1,NBAS_HUMAN,NBAS,Cytoplasm<br> Endoplasmic reticulum<br> Endoplasmic reticulum membrane; Peripheral membrane protein<br>
A2RTX5,SYTC2_HUMAN,TARS3,Cytoplasm<br> Nucleus<br> Note=Primarily cytoplasmic. Also detected at lower levels in the nucleus.<br>
A2RU14,TM218_HUMAN,TMEM218,"Membrane<br> Cell projection, cilium<br> Note=Localizes at the transition zone, a region between the basal body and the ciliary axoneme.<br>"
A2RU30,TESP1_HUMAN,TESPA1,Cytoplasm<br> Endoplasmic reticulum membrane<br> Note=May localize to mitochondria- associated endoplasmic reticulum membrane (MAM).<br>
A2RU49,HYKK_HUMAN,HYKK,Cytoplasm<br>
A2RUB1,MEIOC_HUMAN,MEIOC,Cytoplasm<br> Nucleus<br> Note=at late pachytene a fraction is nuclear.<br>
A2RUB6,CCD66_HUMAN,CCDC66,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite<br> Cell projection, cilium<br> Cytoplasm, cytoskeleton, cilium basal body<br> Photoreceptor inner segment<br> Cell projection, cilium, photoreceptor outer segment<br> Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273).<br>"
A2RUC4,TYW5_HUMAN,TYW5,
A2RUH7,MBPHL_HUMAN,MYBPHL,"Cytoplasm, myofibril, sarcomere<br>"
A2VDJ0,T131L_HUMAN,TMEM131L,"Cell membrane<br> Cytoplasm<br> Note=During intrathymic development, resides in punctate cytoplasmic structures in DN1 and DN2 cells. In DN3 cells, found in large crescent-shaped membrane structures, which preferentially localize in cell-to-cell contact zones.<br><br>[Isoform 1]:<br> Endoplasmic reticulum<br> Note=Transmembrane localization is essential for Wnt signaling inhibition.<br><br>[Isoform 5]:<br> Cytoplasm<br> Note=Scattered throughout the cytoplasm in small-sized punctate structures.<br>"
A2VEC9,SSPO_HUMAN,SSPOP,"Secreted, extracellular space<br>"
A3KMH1,VWA8_HUMAN,VWA8,<br>[Isoform 1]:<br> Mitochondrion<br><br>[Isoform 2]:<br> Mitochondrion<br> Peroxisome<br> Note=Localizes to peroxisomes in a PEX7- dependent manner.<br>
A4D0S4,LAMB4_HUMAN,LAMB4,"Secreted, extracellular space, extracellular matrix, basement membrane."
A4D126,ISPD_HUMAN,CRPPA,"Cytoplasm, cytosol<br>"
A4D161,F221A_HUMAN,FAM221A,
A4D1B5,GSAP_HUMAN,GSAP,"Golgi apparatus, trans-Golgi network<br>"
A4D1E9,GTPBA_HUMAN,GTPBP10,"Nucleus, nucleolus<br> Chromosome<br> Note=Found in the dense fibrillar compartment region of the nucleolus. At the onset of mitosis moves to the chromosome surface and remains there until anaphase. Gradually re-assembles into the nucleolus at late anaphase to telophase."
A4D1P6,WDR91_HUMAN,WDR91,Early endosome membrane<br> Late endosome membrane<br>
A4D1T9,PRS37_HUMAN,PRSS37,"Cytoplasmic vesicle, secretory vesicle, acrosome<br> Secreted<br>"
A4D256,CC14C_HUMAN,CDC14C,Endoplasmic reticulum membrane<br> Note=Retains its endoplasmic reticulum localization during mitosis.<br>
A4D2B0,MBLC1_HUMAN,MBLAC1,"Cytoplasm, cytosol<br> Nucleus<br> Note=Localizes in the nucleus during early S-phase of the cell cycle.<br>"
A4D2B8,PM2P1_HUMAN,PMS2P1,
A4GXA9,EME2_HUMAN,EME2,Nucleus<br>
A4UGR9,XIRP2_HUMAN,XIRP2,Cell junction<br> Note=Colocalizes with actin stress fibers.<br>
A5A3E0,POTEF_HUMAN,POTEF,"Cytoplasm, cell cortex<br> Note=Colocalizes with actin filaments."
A5D8T8,CL18A_HUMAN,CLEC18A,Secreted<br> Endoplasmic reticulum<br> Golgi apparatus<br> Endosome<br>
A5D8V6,VP37C_HUMAN,VPS37C,Late endosome membrane<br> Note=Probably associates with membranes. Recruited to the plasma membrane by HIV-1.
A5D8V7,ODAD3_HUMAN,ODAD3,"Cytoplasm, cytoskeleton, cilium basal body<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole<br> Cytoplasm, cytoskeleton, cilium axoneme<br>"
A5D8W1,CFA69_HUMAN,CFAP69,"Cell projection, cilium<br> Cell projection, cilium, flagellum<br> Note=Localizes to the midpiece of the sperm flagellum.<br>"
A5LHX3,PSB11_HUMAN,PSMB11,Cytoplasm<br> Nucleus<br>
A5PKW4,PSD1_HUMAN,PSD,"Cell membrane<br> Cell projection, ruffle membrane<br> Cleavage furrow<br> Note=Distributed uniformly on the plasma membrane, as well as throughout the cytoplasm during metaphase. Subsequently concentrated at patches in the equatorial region at the onset of cytokinesis, and becomes distributed in the equatorial region concurrent with cleavage furrow ingression. In later cytokinesis phases, fades away from the cleavage furrow and becomes uniformly distributed throughout the plasma membrane.<br>"
A5PLL7,PDES1_HUMAN,PEDS1,Endoplasmic reticulum membrane<br>
A5X5Y0,5HT3E_HUMAN,HTR3E,Postsynaptic cell membrane<br> Cell membrane<br> Note=Presumably retained within the endoplasmic reticulum unless complexed with HTR3A.<br>
A5YKK6,CNOT1_HUMAN,CNOT1,"Cytoplasm, P-body<br> Nucleus<br> Note=NANOS2 promotes its localization to P-body.<br>"
A5YM72,CRNS1_HUMAN,CARNS1,
A6BM72,MEG11_HUMAN,MEGF11,"Cell membrane<br> Basolateral cell membrane<br> Note=Forms an irregular, mosaic-like adhesion pattern in region of the cell that becomes firmely fixed to the substrate. Localized to protruding lamellipodia. Does not localize with MEGF10."
A6H8Y1,BDP1_HUMAN,BDP1,Nucleus<br>
A6H8Z2,F221B_HUMAN,FAM221B,
A6NC98,CC88B_HUMAN,CCDC88B,"Membrane<br> Cytoplasm, cytoskeleton, microtubule organizing center<br> Endoplasmic reticulum<br> Golgi apparatus<br> Cytoplasm<br>"
A6NCS4,NKX26_HUMAN,NKX2-6,Nucleus<br>
A6ND01,JUNO_HUMAN,IZUMO1R,"Cell membrane<br> Cell projection, microvillus membrane<br> Note=GPI-anchored at the oolemma microvilli.<br>"
A6ND36,FA83G_HUMAN,FAM83G,"Cytoplasm, cytosol<br> Nucleus<br> Note=Detected predominantly in the cytosol. Upon BMP stimulation, a small portion localizes the nucleus.<br>"
A6NDB9,PALM3_HUMAN,PALM3,Cytoplasm<br> Cell membrane<br>
A6NDE4,RBY1B_HUMAN,RBMY1B,Nucleus.
A6NDG6,PGP_HUMAN,PGP,
A6NDV4,TMM8B_HUMAN,TMEM8B,<br>[Isoform 2]:<br> Cell membrane<br> Cytoplasm<br> Nucleus<br> Mitochondrion<br> Endoplasmic reticulum<br> Note=Also detected in mitochondrion and endoplasmic reticulum (PubMed:17641538).
A6NED2,RCCD1_HUMAN,RCCD1,Chromosome<br> Note=Colocalizes with trimethylated 'Lys-9' of histone H3 (H3K9me3).<br>
A6NEM1,GG6L9_HUMAN,GOLGA6L9,
A6NFA1,TIKI2_HUMAN,TRABD2B,Cell membrane<br>
A6NFQ2,TCAF2_HUMAN,TCAF2,<br>[Isoform 2]:<br> Cell membrane<br> Note=Colocalizes with TRPM8 on the plasma membrane.<br>
A6NFX1,MFS2B_HUMAN,MFSD2B,Cell membrane<br> Note=Localizes to the cell membrane and intracellular membranes.<br>
A6NFY7,SDHF1_HUMAN,SDHAF1,Mitochondrion matrix<br>
A6NGG8,PCARE_HUMAN,PCARE,"Cell projection, cilium, photoreceptor outer segment<br> Photoreceptor inner segment<br>"
A6NGQ2,OOEP_HUMAN,OOEP,Cytoplasm<br> Nucleus<br>
A6NGU5,GGT3_HUMAN,GGT3P,Membrane<br>
A6NHL2,TBAL3_HUMAN,TUBAL3,"Cytoplasm, cytoskeleton<br>"
A6NHR9,SMHD1_HUMAN,SMCHD1,"Chromosome<br> Note=Recruited to inactivated chromosome X in females by Xist RNA (By similarity). Localizes at sites of DNA damage at double-strand breaks (DSBs) (PubMed:25294876, PubMed:24790221).<br>"
A6NHX0,CAST2_HUMAN,CASTOR2,"Cytoplasm, cytosol<br>"
A6NI15,MSGN1_HUMAN,MSGN1,Nucleus<br>
A6NI61,MYMK_HUMAN,MYMK,"Cell membrane<br> Golgi apparatus membrane<br> Note=Localizes on the plasma membrane of myoblasts, where it mediates myoblasts fusion. Also localizes in the Golgi apparatus and post-Golgi following palmitoylation; the role of Golgi localization is unclear.<br>"
A6NI73,LIRA5_HUMAN,LILRA5,Cell membrane<br><br>[Isoform 3]:<br> Secreted<br>
A6NIH7,U119B_HUMAN,UNC119B,"Cell projection, cilium<br> Note=Enriched at the transition zone and extended into the proximal end of the cilium."
A6NIX2,WTIP_HUMAN,WTIP,"Cell junction, adherens junction. Nucleus<br> Cytoplasm, P-body. Note=Following podocyte injury, caused by treatment with LPS, puromycin aminonucleoside, ultraviolet or hydrogen peroxide, translocates from sites of cell-cell contacts into the cytosol and nucleus. The shift from cell contacts to intracellular plaques starts as early as 1 hour after LPS stimulation and intranuclear localization begins 3 hours after LPS treatment. Maximal nuclear localization is achieved 6 hours after LPS treatment. Nuclear translocation requires dynein motor activity and intact microtubule network (By similarity). Returns to cell-cell contacts 24 hours after LPS stimulation. In the presence of ROR2, localizes to the plasma membrane (By similarity).<br>"
A6NJ46,NKX63_HUMAN,NKX6-3,Nucleus<br>
A6NJ78,MET15_HUMAN,METTL15,Mitochondrion matrix<br>
A6NK06,IRG1_HUMAN,ACOD1,Mitochondrion<br>
A6NK58,LIPT2_HUMAN,LIPT2,Mitochondrion<br>
A6NK89,RASFA_HUMAN,RASSF10,"Cytoplasm, cytosol<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Cytoplasm, cytoskeleton, spindle pole<br> Note=During interphase, predominantly cytoplasmic, although some nuclear staining in several tumor cell contexts. During prophase, observed at developing centrosomes. Displays persistent localization with centrosomally radiating microtubule bundles until late telophase. Associates with spindle poles particularly during metaphase and anaphase before relocating back to the cytoplasm."
A6NKB5,PCX2_HUMAN,PCNX2,Membrane<br>
A6NMY6,AXA2L_HUMAN,ANXA2P2,"Secreted, extracellular space, extracellular matrix, basement membrane<br> Melanosome<br> Note=In the lamina beneath the plasma membrane. In melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.<br>"
A6NMZ7,CO6A6_HUMAN,COL6A6,"Secreted, extracellular space, extracellular matrix<br> Note=Deposed in the extracellular matrix of skeletal muscle.<br>"
A6NNB3,IFM5_HUMAN,IFITM5,Cell membrane<br>
A6NNM8,TTL13_HUMAN,TTLL13,
A6NNN8,S38A8_HUMAN,SLC38A8,"Membrane<br> Cytoplasm, cell cortex<br> Cell projection, axon<br>"
A6NNY8,UBP27_HUMAN,USP27X,"Cytoplasm, cytosol<br> Nucleus<br>"
A6NNZ2,TBB8B_HUMAN,TUBB8B,"Cytoplasm, cytoskeleton<br>"
A6PVC2,TTLL8_HUMAN,TTLL8,"Cytoplasm, cytoskeleton<br> Cell projection, cilium<br> Cytoplasm, cytoskeleton, cilium axoneme<br> Cytoplasm, cytoskeleton, flagellum axoneme<br>"
A7E2V4,ZSWM8_HUMAN,ZSWIM8,"Cytoplasm, cytosol<br>"
A7E2Y1,MYH7B_HUMAN,MYH7B,Membrane<br>
A7KAX9,RHG32_HUMAN,ARHGAP32,"Postsynaptic density<br> Cell projection, dendritic spine<br> Cytoplasm, cell cortex<br> Endosome membrane<br> Golgi apparatus membrane<br> Endoplasmic reticulum membrane<br> Membrane<br> Note=Association to membrane via PX domain (PubMed:17663722). Associated with cortical actin in undifferentiated neuroblastoma cells, but localized to dendritic spine and postsynaptic density after differentiation (By similarity). Colocalizes with EGFR at the cell membrane upon EGF treatment (PubMed:12446789). Colocalizes with GAB2 at the cell membrane (PubMed:12819203).<br>"
A7MCY6,TBKB1_HUMAN,TBKBP1,
A7MD48,SRRM4_HUMAN,SRRM4,Nucleus<br>
A7XYQ1,SOBP_HUMAN,SOBP,
A8CG34,P121C_HUMAN,POM121C,"Nucleus, nuclear pore complex<br> Nucleus membrane<br> Endoplasmic reticulum membrane<br> Note=Stably associated with the NPC throughout interphase and the endoplasmic reticulum during metaphase.<br>"
A8K0Z3,WASH1_HUMAN,WASHC1,"Early endosome membrane<br> Recycling endosome membrane<br> Late endosome<br> Cytoplasmic vesicle, autophagosome<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole<br> Note=Localization to the endosome membrane is mediated via its interaction with WASHC2 (PubMed:19922874). Localizes to MMP14-positive late endosomes and transiently to invadipodia (PubMed:24344185). Localized to Salmonella typhimurium entry sites (By similarity).<br>"
A8K2U0,A2ML1_HUMAN,A2ML1,Secreted<br>
A8K4G0,CLM7_HUMAN,CD300LB,Cell membrane<br>
A8K7I4,CLCA1_HUMAN,CLCA1,"Secreted, extracellular space<br> Cell membrane<br> Note=Protein that remains attached to the plasma membrane appeared to be predominantly localized to microvilli."
A8K830,OCAT2_HUMAN,POU2AF3,Cytoplasm<br> Nucleus<br>
A8K8P3,SFI1_HUMAN,SFI1,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole<br> Note=Localized close to the centriole."
A8K8V0,ZN785_HUMAN,ZNF785,Nucleus<br>
A8MPY1,GBRR3_HUMAN,GABRR3,Postsynaptic cell membrane<br> Cell membrane<br>
A8MQ03,CRTP1_HUMAN,CYSRT1,Cornified envelope<br>
A8MQ27,NEU1B_HUMAN,NEURL1B,Cytoplasm<br>
A8MT69,CENPX_HUMAN,CENPX,"Nucleus<br> Chromosome, centromere<br> Chromosome, centromere, kinetochore<br> Note=Assembly of CENPS and CENPX and its partner subunits CENPT and CENPW at centromeres occurs through a dynamic exchange mechanism. Although exchange is continuous in the cell cycle, de novo assembly starts principally during mid-late S phase and is complete by G2. CENPX being less stably bound at the kinetochore than CENPS.<br>"
A8MTA8,CMI2B_HUMAN,CIMIP2B,"Cytoplasm, cytoskeleton, cilium axoneme<br>"
A8MTJ3,GNAT3_HUMAN,GNAT3,Cytoplasm<br> Note=Dual distribution pattern; plasmalemmal pattern with apical region localization and cytosolic pattern with localization throughout the cytoplasm.
A8MTJ6,FOXI3_HUMAN,FOXI3,Nucleus<br>
A8MTQ0,NOTO_HUMAN,NOTO,Nucleus<br>
A8MTZ0,BBIP1_HUMAN,BBIP1,"Cell projection, cilium<br> Cytoplasm<br> Note=Localizes inside the primary cilium but not at centriolar satellites."
A8MU46,SMTL1_HUMAN,SMTNL1,"Cytoplasm, myofibril<br> Cytoplasm, myofibril, sarcomere, I band<br> Cytoplasm, myofibril, sarcomere, M line<br> Nucleus<br> Note=Colocalizes with MYH2. In its unphosphorylated state, localizes to the cytoplasm (By similarity). Phosphorylation at Ser-301 promotes translocation to the nucleus (By similarity).<br>"
A8MUP2,CSKMT_HUMAN,CSKMT,Mitochondrion<br>
A8MV65,VGLL3_HUMAN,VGLL3,Nucleus<br>
A8MVW5,HECA2_HUMAN,HEPACAM2,"Golgi apparatus membrane<br> Cytoplasm, cytoskeleton, spindle<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Midbody<br> Note=In interphase, localizes to the Golgi apparatus. Localizes to centrosomes and spindles during prophase, prometaphase, and metaphase of mitosis, and to midbodies at telophase. Translocation to mitotic centrosomes is the result of poly-ADP- ribosylation (PARsylation).<br>"
A8MW92,P20L1_HUMAN,PHF20L1,Nucleus<br> Note=Localized to the perinucleolar region.<br>
A8MW95,BECN2_HUMAN,BECN2,Cytoplasm<br>
A8MW99,MEI4_HUMAN,MEI4,"Chromosome<br> Note=Specifically localizes to unsynapsed chromosomal regions during meiosis. Located in discrete foci on the axes of meiotic chromosomes. The number of foci is highest at leptonema, decreases at zygonema and is strongly reduced in pachynema and subsequent stages.<br>"
A8MXD5,GRCR1_HUMAN,GRXCR1,"Cell projection, stereocilium<br> Cell projection, microvillus<br> Cell projection, kinocilium<br> Note=In the inner ear, localized to stereocilia, apical microvilli of sensory cells and kinocilia.<br>"
A8MXV4,NUD19_HUMAN,NUDT19,Peroxisome<br>
A8MYU2,KCNU1_HUMAN,KCNU1,Cell membrane<br>
A8MZ59,LEUTX_HUMAN,LEUTX,Nucleus<br>
A8TX70,CO6A5_HUMAN,COL6A5,"Secreted, extracellular space, extracellular matrix<br> Note=Deposed in the extracellular matrix of skeletal muscle.<br>"
A9QM74,IMA8_HUMAN,KPNA7,Nucleus<br>
A9UHW6,MI4GD_HUMAN,MIF4GD,Cytoplasm<br> Nucleus<br>
A9YTQ3,AHRR_HUMAN,AHRR,"Cytoplasm<br> Nucleus<br> Note=Predominantly in the nuclear compartment. First cytoplasmic, translocates into the nuclear compartment upon interaction with ARNT in the cytoplasmic compartment."
B0I1T2,MYO1G_HUMAN,MYO1G,"Cell membrane<br> Cell projection, phagocytic cup<br> Note=Recruited to Fc-gamma receptor (Fc-gamma-R) phagocytic cup. In T- cells, transiently accumulates in discrete areas at the plasma membrane of migrating cells or when membranes are deformed (By similarity). Localization at the membrane is not highly dependent on phosphatidylinositol 4,5-bisphosphate levels. Released from the membrane in the presence of ATP. May be enriched in peripheral processes, such as microvilli or ruffles.<br>"
B0L3A2,DESPR_HUMAN,FBXW7-AS1,Cell membrane<br>
B0YJ81,HACD1_HUMAN,HACD1,<br>[Isoform 1]:<br> Endoplasmic reticulum membrane<br>
B1AK53,ESPN_HUMAN,ESPN,"Cytoplasm, cytoskeleton<br> Cell projection, stereocilium<br> Cell projection, microvillus<br>"
B2RTY4,MYO9A_HUMAN,MYO9A,"Membrane<br> Cytoplasm<br> Synapse<br> Cell projection, growth cone<br> Note=Localized in the cytoplasm of cell bodies, dendrites and axons with occasional hints of an enrichment near the plasma membrane. Localized at the neuromuscular junction (By similarity).<br>"
B2RUY7,VWC2L_HUMAN,VWC2L,Secreted<br> Synapse<br>
B2RUZ4,SMIM1_HUMAN,SMIM1,Cell membrane<br>
B2RXF5,ZBT42_HUMAN,ZBTB42,"Cytoplasm<br> Nucleus<br> Nucleus, nucleoplasm<br> Note=In skeletal myofibers, highly enriched in subsynaptic nuclei at the neuromuscular junctions.<br>"
B2RXH2,KDM4E_HUMAN,KDM4E,Nucleus<br>
B3KU38,IQIP1_HUMAN,IQCJ-SCHIP1,"Cell projection, axon<br> Cytoplasm<br> Note=Localizes to the axon initial segments (AIS) and nodes of Ranvier of neurons and is absent from dendrites.<br>"
B6A8C7,TARM1_HUMAN,TARM1,Cell membrane<br>
B7U540,KCJ18_HUMAN,KCNJ18,Cell membrane<br>
B7ZAQ6,GPHRA_HUMAN,GPR89A,Golgi apparatus membrane<br>
C4AMC7,WASH3_HUMAN,WASH3P,"Early endosome<br> Early endosome membrane<br> Recycling endosome membrane<br> Cell projection, lamellipodium<br> Cell projection, filopodium<br> Cytoplasmic vesicle, autophagosome<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole<br> Note=Localization to the endosome membrane is mediated via its interaction with WASHC2. Localizes to MMP14-positive late endosomes and transiently to invadipodia (By similarity). Localized to Salmonella typhimurium entry sites (By similarity).<br>"
C9JE40,PATL2_HUMAN,PATL2,Cytoplasm<br> Nucleus<br>
C9JLW8,MCRI1_HUMAN,MCRIP1,"Nucleus<br> Cytoplasm, Stress granule<br>"
C9JR72,KBTBD_HUMAN,KBTBD13,Cytoplasm<br>
C9JRZ8,AK1BF_HUMAN,AKR1B15,"<br>[Isoform 1]:<br> Mitochondrion<br><br>[Isoform 2]:<br> Cytoplasm, cytosol<br>"
D3W0D1,KLRF2_HUMAN,KLRF2,Cell membrane<br>
D6RGH6,MCIN_HUMAN,MCIDAS,Nucleus<br> Note=Excluded from the nucleolus.<br>
E0CX11,STMP1_HUMAN,STMP1,Mitochondrion inner membrane<br> Mitochondrion outer membrane<br> Mitochondrion intermembrane space<br>
F5H094,SO1BT_HUMAN,SLCO1B3-SLCO1B7,Smooth endoplasmic reticulum membrane<br> Cell membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein.
G2XKQ0,SUMO5_HUMAN,SUMO1P1,Nucleus<br> Note=Forms prominent non-membrane-bound structures in the nucleus.<br>
H0YL14,TM250_HUMAN,TMEM250,"Membrane<br> Nucleus<br> Cytoplasm<br> Note=Upon HHV-1 infection, accumulates arround the nuclear membrane and translocates into the nucleus."
